referencia,referencia_data,ativo,idtempo,idreserva,idsituacao,situacao,sigla,tempo,data_cad
13949,2025-04-04 17:41:06,S,13949,2415,23,Análise de proposta (Diretoria) (1),,6,2025-04-04 17:41:06
13950,2025-04-04 17:53:25,S,13950,1981,26,Crédito (Interno) (2),,152,2025-04-04 17:53:25
13951,2025-04-04 18:32:15,S,13951,1940,20,Negociação (5),,115,2025-04-04 18:32:15
13952,2025-04-04 18:33:50,S,13952,1951,20,Negociação (5),,54,2025-04-04 18:33:50
13953,2025-04-04 18:39:24,S,13953,1943,20,Negociação (5),,68,2025-04-04 18:39:24
13954,2025-04-04 18:40:46,S,13954,2133,26,Crédito (Interno) (2),,458,2025-04-04 18:40:46
13955,2025-04-04 18:43:57,S,13955,2133,20,Negociação (5),,3,2025-04-04 18:43:57
13956,2025-04-05 09:46:42,S,13956,2519,1,Reserva (7),,6977,2025-04-05 09:46:42
13957,2025-04-05 09:48:12,S,13957,2552,1,Reserva (7),,9926,2025-04-05 09:48:12
13958,2025-04-05 09:55:13,S,13958,2549,1,Reserva (7),,11133,2025-04-05 09:55:13
13959,2025-04-05 10:02:09,S,13959,2555,1,Reserva (7),,6826,2025-04-05 10:02:09
13960,2025-04-05 10:06:13,S,13960,2546,1,Reserva (7),,11384,2025-04-05 10:06:13
13961,2025-04-05 10:08:26,S,13961,2547,1,Reserva (7),,11287,2025-04-05 10:08:26
13962,2025-04-05 10:12:53,S,13962,2495,1,Reserva (7),,37037,2025-04-05 10:12:53
13963,2025-04-05 10:13:29,S,13963,2498,1,Reserva (7),,37023,2025-04-05 10:13:29
13964,2025-04-05 10:13:51,S,13964,2496,1,Reserva (7),,37028,2025-04-05 10:13:51
13965,2025-04-05 10:14:15,S,13965,2497,1,Reserva (7),,37027,2025-04-05 10:14:15
13966,2025-04-05 10:15:06,S,13966,2477,1,Reserva (7),,44288,2025-04-05 10:15:06
13967,2025-04-05 10:20:35,S,13967,2444,1,Reserva (7),,54660,2025-04-05 10:20:35
13968,2025-04-05 10:45:09,S,13968,2299,26,Crédito (Interno) (2),,1426,2025-04-05 10:45:09
13969,2025-04-05 11:24:56,S,13969,2299,20,Negociação (5),,39,2025-04-05 11:24:56
13970,2025-04-05 11:58:10,S,13970,2415,26,Crédito (Interno) (2),,1097,2025-04-05 11:58:10
13971,2025-04-05 12:01:58,S,13971,2402,20,Negociação (5),,5630,2025-04-05 12:01:58
13972,2025-04-05 12:08:45,S,13972,2415,20,Negociação (5),,10,2025-04-05 12:08:45
13973,2025-04-07 08:16:17,S,13973,2299,23,Análise de proposta (Diretoria) (1),,2691,2025-04-07 08:16:17
13974,2025-04-07 08:18:42,S,13974,2133,23,Análise de proposta (Diretoria) (1),,3694,2025-04-07 08:18:42
13975,2025-04-07 08:21:38,S,13975,1951,23,Análise de proposta (Diretoria) (1),,3707,2025-04-07 08:21:38
13976,2025-04-07 08:23:07,S,13976,1943,23,Análise de proposta (Diretoria) (1),,3703,2025-04-07 08:23:07
13977,2025-04-07 08:24:33,S,13977,1940,23,Análise de proposta (Diretoria) (1),,3712,2025-04-07 08:24:33
13978,2025-04-07 08:56:06,S,13978,1943,26,Crédito (Interno) (2),,32,2025-04-07 08:56:06
13979,2025-04-07 09:06:47,S,13979,2554,16,Contrato - Elaboração (2),,4004,2025-04-07 09:06:47
13980,2025-04-07 09:08:33,S,13980,1951,26,Crédito (Interno) (2),,46,2025-04-07 09:08:33
13981,2025-04-07 09:31:03,S,13981,2415,23,Análise de proposta (Diretoria) (1),,2722,2025-04-07 09:31:03
13982,2025-04-07 09:35:37,S,13982,2402,23,Análise de proposta (Diretoria) (1),,2733,2025-04-07 09:35:37
13983,2025-04-07 10:04:05,S,13983,2361,26,Crédito (Interno) (2),,3965,2025-04-07 10:04:05
13984,2025-04-07 10:05:52,S,13984,2415,26,Crédito (Interno) (2),,34,2025-04-07 10:05:52
13985,2025-04-07 10:25:47,S,13985,2402,26,Crédito (Interno) (2),,50,2025-04-07 10:25:47
13986,2025-04-07 11:01:16,S,13986,2299,26,Crédito (Interno) (2),,164,2025-04-07 11:01:16
13987,2025-04-07 11:07:15,S,13987,2548,20,Negociação (5),,4061,2025-04-07 11:07:15
13988,2025-04-07 11:15:23,S,13988,2180,26,Crédito (Interno) (2),,4335,2025-04-07 11:15:23
13989,2025-04-07 11:17:22,S,13989,2312,26,Crédito (Interno) (2),,3953,2025-04-07 11:17:22
13990,2025-04-07 11:24:14,S,13990,2133,26,Crédito (Interno) (2),,185,2025-04-07 11:24:14
13991,2025-04-07 13:29:45,S,13991,2431,20,Negociação (5),,14348,2025-04-07 13:29:45
13992,2025-04-07 13:50:41,S,13992,2505,20,Negociação (5),,8753,2025-04-07 13:50:41
13993,2025-04-07 13:51:45,S,13993,2493,20,Negociação (5),,8754,2025-04-07 13:51:45
13994,2025-04-07 13:53:30,S,13994,1983,20,Negociação (5),,19961,2025-04-07 13:53:30
13995,2025-04-07 14:05:14,S,13995,2449,20,Negociação (5),,26223,2025-04-07 14:05:14
13996,2025-04-07 14:15:41,S,13996,2154,20,Negociação (5),,5563,2025-04-07 14:15:41
13997,2025-04-07 14:17:55,S,13997,2299,16,Contrato - Elaboração (2),,196,2025-04-07 14:17:55
13998,2025-04-07 14:21:05,S,13998,2299,20,Negociação (5),,3,2025-04-07 14:21:05
13999,2025-04-07 14:23:24,S,13999,2299,23,Análise de proposta (Diretoria) (1),,2,2025-04-07 14:23:24
14000,2025-04-07 14:25:12,S,14000,2449,23,Análise de proposta (Diretoria) (1),,19,2025-04-07 14:25:12
14001,2025-04-07 14:28:39,S,14001,2431,23,Análise de proposta (Diretoria) (1),,58,2025-04-07 14:28:39
14002,2025-04-07 14:30:38,S,14002,2154,23,Análise de proposta (Diretoria) (1),,14,2025-04-07 14:30:38
14003,2025-04-07 14:46:02,S,14003,2141,20,Negociação (5),,5593,2025-04-07 14:46:02
14004,2025-04-07 15:11:53,S,14004,2499,20,Negociação (5),,27455,2025-04-07 15:11:53
14005,2025-04-07 15:13:53,S,14005,2141,23,Análise de proposta (Diretoria) (1),,27,2025-04-07 15:13:53
14006,2025-04-07 15:14:01,S,14006,2217,20,Negociação (5),,19092,2025-04-07 15:14:01
14007,2025-04-07 15:15:42,S,14007,1983,23,Análise de proposta (Diretoria) (1),,82,2025-04-07 15:15:42
14008,2025-04-07 15:17:03,S,14008,2499,23,Análise de proposta (Diretoria) (1),,5,2025-04-07 15:17:03
14009,2025-04-07 15:20:10,S,14009,2217,23,Análise de proposta (Diretoria) (1),,6,2025-04-07 15:20:10
14010,2025-04-07 15:28:25,S,14010,2184,20,Negociação (5),,30378,2025-04-07 15:28:25
14011,2025-04-07 15:29:51,S,14011,1965,20,Negociação (5),,6060,2025-04-07 15:29:51
14012,2025-04-07 15:36:49,S,14012,2180,20,Negociação (5),,261,2025-04-07 15:36:49
14013,2025-04-07 15:39:55,S,14013,2184,23,Análise de proposta (Diretoria) (1),,11,2025-04-07 15:39:55
14014,2025-04-07 15:44:42,S,14014,2431,26,Crédito (Interno) (2),,76,2025-04-07 15:44:42
14015,2025-04-07 16:01:05,S,14015,1925,20,Negociação (5),,4263,2025-04-07 16:01:05
14016,2025-04-07 16:12:31,S,14016,1925,23,Análise de proposta (Diretoria) (1),,11,2025-04-07 16:12:31
14017,2025-04-07 16:12:40,S,14017,1951,20,Negociação (5),,424,2025-04-07 16:12:40
14018,2025-04-07 16:13:22,S,14018,2312,20,Negociação (5),,296,2025-04-07 16:13:22
14019,2025-04-07 16:13:25,S,14019,2312,23,Análise de proposta (Diretoria) (1),,0,2025-04-07 16:13:25
14020,2025-04-07 16:14:14,S,14020,1951,23,Análise de proposta (Diretoria) (1),,1,2025-04-07 16:14:14
14021,2025-04-07 16:14:15,S,14021,1951,26,Crédito (Interno) (2),,0,2025-04-07 16:14:15
14022,2025-04-07 16:23:50,S,14022,1952,20,Negociação (5),,18806,2025-04-07 16:23:50
14023,2025-04-07 16:24:41,S,14023,2180,23,Análise de proposta (Diretoria) (1),,47,2025-04-07 16:24:41
14024,2025-04-07 16:24:50,S,14024,2470,20,Negociação (5),,8717,2025-04-07 16:24:50
14025,2025-04-07 16:26:21,S,14025,2471,20,Negociação (5),,8719,2025-04-07 16:26:21
14026,2025-04-07 16:27:24,S,14026,1965,23,Análise de proposta (Diretoria) (1),,57,2025-04-07 16:27:24
14027,2025-04-07 16:32:14,S,14027,2470,23,Análise de proposta (Diretoria) (1),,7,2025-04-07 16:32:14
